category,name,url
drawings,My Museums,sample_art_project.html
drawings,Books I didn't read,sample_art_project.html
generative art,Cairo,sample_art_project.html
generative art,Phylotaxis,sample_art_project.html
phrases,Je suis,sample_art_project.html
phrases,Elle Lui dit,sample_art_project.html
phrases,Gradient phrases,sample_art_project.html
audiovisual,Photographie,sample_art_project.html
audiovisual,Short-films,sample_art_project.html
audiovisual,Art covers,sample_art_project.html
